,name,followers_count,total_number_of_tweets,location,language,tweet_count
0,Anne-Maria Yritys,454295.0,773628,Finland|Europe|Earth|Online,en,636
1,LeadingWithPassion™,50614.0,425477,Globally l Online l Earth,en,190
2,AroundOnlineMedia180,44445.0,381747,Online l Globally l Earth,en,189
3,Linda Shelton,4147.0,238210,Chicago,en,136
4,Seema Sapra,1501.0,113781,"New Delhi, India",en,124
5,MeToo Zoo,16.0,4551,USA,en,76
6,Viri #IBelieveHim,120.0,4262,"Distrito Federal, México",en,66
7,Irene Woodbury,18085.0,89930,Colorado,en,66
8,John Rankin,2629.0,83985,"Orange Cove, CA",en,62
9,Ritu G,153.0,3535,India,en,58
10,benjaminady,356.0,13916,Melbourne,en,55
11,martin Johnson,1560.0,16301,"Georgia, USA",en,53
12,Russ M,4160.0,135452,Missouri,en,53
13,Johnny Depp's girl,4380.0,78627,México,en,50
14,Arren J,399.0,19035,United States,en,46
15,Patricia Singleton,6715.0,315850,Arkansas,en,34
16,Michael Volkov,6646.0,64978,"Del Mar, CA; Washington, D.C. ",en,33
17,Brian Herzog,33.0,287,"Yorkshire and The Humber, Engl",en,28
18,Fun Philly 🗣,482.0,6063,United States,en,27
19,Damo,498.0,9466,"Adelaide, Australia",en,27
20,"G. Donald Cribbs, MA",2981.0,40257,"Camp Hill, PA",en,26
21,Johnathan Gionova,6300.0,343867,"Miami Beach, FL",en,24
22,Mark Naughton,402.0,9246,"Long Island, New York",en,23
23,Brendan Bakewell 💙,29.0,188,"California, USA",en,23
24,Finley Harper,7383.0,96837,"London, England",en,23
25,Lara Villanelle 🐬,103.0,17543,Poland/UK,en,23
26,Fay Brown #projectsnowball,2939.0,12317,"Eaglescliffe, England",en,22
27,Kevin,670.0,21184,"Los Angeles, CA",en,22
28,CaliLili™🧜🏾🧜🏽‍♀️🧜‍♀️🐬🏄🏼‍♀️🏄🏿‍♀🌱🦀🎬🎼,5626.0,151751,TheCaliLiliIndies™VenusBeach™,en,21
29,2 Blondes Media Mgmt,19279.0,87754,"Phoenix, AZ",en,21
30,#SaveKevinCooper,2842.0,314168,Los Angeles,en,21
31,Pravz_dna,788.0,113097,India,en,20
32,Alexandra Sokoloff,7917.0,7601,Los Angeles/Scotland,en,19
33,So-Star,247308.0,257880,12 Studios used Worldwide,en,18
34,Dr. Lori Handrahan,5635.0,209421,Washington DC,en,18
35,MirrorImages,1326.0,32220,"West Midlands, United Kingdom ",en,18
36,I really want to save Maho🌟#follow4follow #F4F,313.0,341,Milky Way,en,18
37,harlechnnorfolk,2202.0,143042,"Harlech, Wales",en,17
